,symbol,notionalLimit
265,PORTALUSDT,1000000
266,TONUSDT,1000000
267,AXLUSDT,1000000
268,MYROUSDT,1000000
269,1000PEPEUSDC,1000000
270,METISUSDT,1000000
271,AEVOUSDT,1000000
272,WLDUSDC,1000000
273,VANRYUSDT,1000000
274,BOMEUSDT,1000000
275,ETHFIUSDT,1000000
276,AVAXUSDC,1000000
277,1000SHIBUSDC,1000000
278,BTCUSDT_240927,40000000
279,ETHUSDT_240927,40000000
280,ENAUSDT,1000000
281,WUSDT,1000000
282,WIFUSDC,1000000
283,BCHUSDC,1000000
284,TNSRUSDT,1000000
285,SAGAUSDT,1000000
286,LTCUSDC,1000000
287,NEARUSDC,1000000
288,TAOUSDT,1000000
289,OMNIUSDT,1000000
290,ARBUSDC,1000000
291,NEOUSDC,1000000
292,FILUSDC,1000000
293,MATICUSDC,1000000
294,TIAUSDC,1000000
295,BOMEUSDC,1000000
296,REZUSDT,1000000
297,ENAUSDC,1000000
298,ETHFIUSDC,1000000
299,1000BONKUSDC,1000000
